,Unnamed: 0,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_2,phi_false_2,phi_true_2,Tn_2,alpha_2,beta_2,vw_2,vJ_2,SNR_2
39,10,1,-3.641374619981188,41,6.606758367823215,68,6.642876334277477,True,-1.8754492259464768,257.2710595468291,254.4396524091656,64.11160279833675,361.1,247.69613240055443,0.001460834858325324,22998.115401949526,0.3318444968510285,0.6077038901044504,8.804827941732489e-13,,,,,,,,,,,,,,,,,,
40,19,44,1.0189234330492187,64,-1.3411648029966798,68,2.038658093523239,True,-1.8943546196099283,257.23637373895235,255.75489881602797,64.60968529776889,367.6,248.09757867555786,0.001446869400978532,21316.940393214893,0.3533585328033351,0.6075625713649804,1.5187582875948888e-12,195.7299078530032,401.5617943807382,436.9617943807381,195.4691028096309,0.00010333439190656876,356143.41326130024,0.07288918399094861,0.5855903763724907,2.674775004688248e-23,,,,,,,,,
41,11,25,1.7592493025675928,28,7.1722647029851485,48,8.655618725395392,True,-1.8114641857174096,258.99394484027647,256.4622554387972,62.640476308627775,369.9,248.8398809228431,0.0014466443138317158,20029.571556153143,0.3523359601297663,0.6075602876732767,2.022552917613204e-12,202.0201680531117,402.5492369297871,445.8984738595742,201.65076307021286,0.00010332069939369834,228662.3151555225,0.08540290723692125,0.5855898343988931,2.8255188983289745e-22,,,,,,,,,
42,3,3,4.773959224846644,35,6.874068214839332,61,7.080087411748727,True,-1.828233064222038,256.72236270183623,255.6625593736712,63.77508069130757,370.41877017282684,248.28122982717312,0.001431328609855384,22613.18655490476,0.3471297980594461,0.6074044477237388,1.0332131800733487e-12,203.43630618426982,402.7778237868654,447.28891189343284,203.0110881065673,0.00010589468962152296,153364.26378008118,0.0913204201688222,0.5856910848391661,2.3173422982853696e-21,,,,,,,,,
43,4,26,0.9589258115247041,52,4.091560788101013,81,4.5767571265293245,True,-1.84172050136844,259.13891383854923,252.7665587445887,65.74305536934425,356.0,246.8856482102186,0.001409246685590458,28272.766254100807,0.31073109373532376,0.6071782127633655,2.365553513156551e-13,,,,,,,,,,,,,,,,,,
44,1,27,0.2786735779702738,41,1.6671915273238689,61,1.6913855501057302,True,-1.7635680062430883,256.8907963757748,252.8027212288104,64.45251943983146,348.2,247.41187014004208,0.0014011166102959054,29102.123624157837,0.2971492979006801,0.6070944440597166,1.7640121027152626e-13,,,,,,,,,,,,,,,,,,
45,12,16,-2.777415391704628,62,8.565695402818077,97,9.700836172626301,True,-1.88208677096704,255.11075029005653,250.977135483448,67.15440235084074,351.4,245.88639941228985,0.0013939433675636856,35851.13673644571,0.28946505087818536,0.6070203203649001,5.882406813467607e-14,,,,,,,,,,,,,,,,,,
46,16,4,1.1998920949129968,37,6.790108035571741,63,7.292596647685951,True,-1.7923421001696755,258.3784890974433,255.0018273056085,64.95938695554271,368.3,247.96015326111439,0.001393922494797204,23323.703612174693,0.3396588809097704,0.6070201044398372,7.652512662265944e-13,199.45837041250832,402.3863340714457,448.7863340714457,199.00683296427715,0.00011011353123845962,151329.52191698938,0.09501767690687343,0.5858543726920296,3.2206227495409195e-21,,,,,,,,,
47,2,12,-1.05476723704834,47,8.107485247497461,72,8.152457487208963,True,-1.7771817326095187,257.4422659997461,252.26537747924667,65.20598367292628,348.2,247.09850408176845,0.0013853615901001793,31955.252311401535,0.2910845307931706,0.6069313764071005,1.019320737568226e-13,,,,,,,,,,,,,,,,,,
48,14,7,8.25843776581759,41,9.30369475842834,65,9.816613295213696,True,-1.7658290937137664,258.21974832893267,253.5779747995044,64.82561070579114,356.1,247.66859732355223,0.001380417123237662,28265.94569929654,0.3112074414779795,0.6068799982243036,2.2133199287139527e-13,,,,,,,,,,,,,,,,,,
49,6,26,4.394659527158938,34,4.991652107975646,51,8.851155192280139,True,-1.7444559241887831,256.7931410379725,254.89283772099145,64.18779950428133,365.5,248.25305012392968,0.0013796343659016536,24752.69720672725,0.3297194668035415,0.6068718556424074,5.019511083434293e-13,,,,,,,,,,,,,,,,,,
50,1,40,-0.3842063341278213,54,5.953187339080943,84,6.1995285986816775,True,-1.7989089857488556,255.4792574735596,251.72281546862285,66.61795142890114,350.14551214277475,246.54551214277473,0.0013689925759406653,34083.342825076994,0.29177828825944635,0.6067609119260089,7.247277184781813e-14,,,,,,,,,,,,,,,,,,
51,12,20,-1.8669090628780864,50,8.159253698313115,77,8.379954371811557,True,-1.7705151149361769,255.5829159477584,251.7873830362025,66.26254088797246,347.6593647780069,246.7593647780069,0.0013636526525198404,34108.73626133896,0.2874254783661052,0.6067050699363945,6.833026330858961e-14,,,,,,,,,,,,,,,,,,
52,4,12,-1.703184421788066,63,5.3572457537310925,97,6.254524579162709,True,-1.8430267265726161,255.38145881385208,250.55657028885724,68.04212505403905,350.6,245.68946873649026,0.001358874833954701,45451.448133266014,0.2833513048205038,0.6066550081017522,1.593882870868149e-14,,,,,,,,,,,,,,,,,,
53,10,31,3.9485176770672834,37,4.689557624710719,83,7.999042796476227,True,-1.5886302211882766,256.7487265754806,256.27144401781453,32.15061537931937,638.6186730775852,254.9186730775851,0.0013426760125033134,9576504.812598687,0.1458260476818653,0.6064845815753327,8.068705506045068e-27,,,,,,,,,,,,,,,,,,
54,10,16,-2.572593527675826,49,8.339394325894197,92,9.886098262250748,True,-1.8038174625871155,255.67191817550707,254.12122396358168,67.79420812214126,384.0,246.8764479694647,0.001336547147377986,26183.91272937424,0.3455010763117328,0.6064198150668361,4.0854656537066377e-13,220.4888705411409,408.327676506606,459.02767650660604,219.97232349339401,0.00010700992523164276,133148.6255148823,0.09658888545171396,0.5857345656434149,4.132357361235321e-21,,,,,,,,,
55,1,13,3.7501092594977714,68,6.995544233993112,97,7.027986050265341,True,-1.7653941591106468,254.73861718336647,248.98154476347958,66.68032839225727,339.6549179019357,245.7549179019357,0.001333276930857013,48555.76367393714,0.23027125976171514,0.6063851963478608,6.506948370004315e-15,,,,,,,,,,,,,,,,,,
56,18,53,1.3696176758347676,65,3.40468703658312,95,5.410568114346766,True,-1.8030621255654151,254.9025125156813,250.55333068322304,68.30667272406136,352.4733318189846,245.77333181898467,0.0013293941277976954,74255.2169707931,0.2809083092589019,0.6063440318899148,1.2742506599959546e-15,,,,,,,,,,,,,,,,,,
57,0,49,1.3309247767475814,52,7.190057752332232,74,7.7840418058781875,True,-1.6894283211664831,256.36832161858473,250.47324907205623,65.44985394801895,339.58753651299526,246.7875365129953,0.0013289121831217606,52989.592905856174,0.2458290344738072,0.6063389147186911,4.8117673383908154e-15,,,,,,,,,,,,,,,,,,
