,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_2,phi_false_2,phi_true_2,Tn_2,alpha_2,beta_2,vw_2,vJ_2,SNR_2,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_4,phi_false_4,phi_true_4,Tn_4,alpha_4,beta_4,vw_4,vJ_4,SNR_4,Tc_3,phi_false_3,phi_true_3,Tn_3,alpha_3,beta_3,vw_3,vJ_3,SNR_3
11,17,2.6073056118412765,53,0.4000906684069078,True,3.064568316929296,210.1114737555777,170.78152713065043,28.7,127.9,166.54705442077542,0.006193182013947989,14916.964823058692,0.3101475801537196,0.6379527277951442,1.4929356825048015e-09,,,,,,,,,,170.40975631410382,129.0,214.2,158.59940285570926,0.0012465822836876975,4681.8760750363,0.4924408187761043,0.6054504871854763,2.7292747251948495e-08,,,,,,,,,,,,,,,,,,
5,30,1.7014076144603991,81,0.1542144865043845,True,-3.2534250411384087,192.76941872427986,190.5517681228262,28.6,283.3,181.7223673804797,0.0061584530085899295,10667.407627765118,0.4177747497913482,0.6377929550988765,1.6025119702609152e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,38,4.57700761176216,88,1.538169828114836,True,-4.660447155301983,164.5808102988604,157.81641272597298,20.6,85.7,155.44023261470957,0.005899966508547348,54373.678745850906,0.2431991907086465,0.6365874449164795,1.4390722301608214e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,36,1.5960477224593372,94,0.15961829869010766,True,-2.7027036307699506,188.29811406498527,186.5749144847564,27.64766051731254,286.6,178.05233948268744,0.005814189008672189,9229.712844009446,0.4153305916603391,0.6361804976214507,2.8280696738231326e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27,1.326180691456576,74,0.2443369439432247,True,-2.9841610353618417,192.68507808345868,177.09612292770726,36.117213299486345,292.2,170.58278670051368,0.005798952637156362,67302.2918146821,0.37475992823143534,0.6361082550714249,1.1769385845284211e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,30,3.0259839028912245,90,0.18499908676822646,True,8.844773838920837,395.94682866287803,294.1173401026513,32.1,135.8,289.9696935678496,0.005578780856832267,48209.7215449729,0.2356856344095408,0.6350472546542967,3.200170769315726e-13,,,,,,,,,,227.0900842260756,142.1,237.0,223.56048379483684,0.003110338682877938,26708.67821906893,0.2452988884059073,0.6210610100547235,2.493004644700249e-12,,,,,,,,,,,,,,,,,,
18,57,1.3426108658727869,97,0.3463318949330165,True,3.5190914697648834,306.45090693752496,245.35774076272443,60.04104496238421,219.0,243.7589550376158,0.005573278356512999,99495.44357242744,0.16078143470298542,0.6350204375717767,6.460026027864334e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,19,1.8012660669695149,51,0.3718716542121957,True,-2.2978457236900214,186.07281095541745,173.37151788952656,36.029088897489686,295.3,167.17091110251033,0.005443010955809018,26802.967283563856,0.3701771745652779,0.6343812102633223,9.680741071793816e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,33,1.1782090255755553,85,0.20991759279553546,True,2.254207975013501,158.50671782146327,157.76925263019817,17.2,70.5,156.40200677018387,0.0054366675140910285,80745.1957438275,0.18530814321079805,0.6343498552994332,8.559546286500685e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,36,2.426110265210115,88,0.8688494955170407,True,4.557415804112191,161.2204641896406,160.6678591579263,17.5,72.9,158.44468123311452,0.00540738464558616,72418.99137048397,0.2337209056732055,0.6342048980216058,2.2958731643793835e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
