,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_2,phi_false_2,phi_true_2,Tn_2,alpha_2,beta_2,vw_2,vJ_2,SNR_2,Tc_3,phi_false_3,phi_true_3,Tn_3,alpha_3,beta_3,vw_3,vJ_3,SNR_3,Tc_4,phi_false_4,phi_true_4,Tn_4,alpha_4,beta_4,vw_4,vJ_4,SNR_4,f,epsilon
14,18,0.6641278119937924,94,0.013550895085925172,True,-3.1106565701160056,166.4201974610339,165.70772826166197,18.5,212.1,154.2121157947501,0.009394108894973571,4239.8628425892575,0.501036862966322,0.6509284659929464,1.846321549592804e-05,154.5229434499354,213.1,270.7,136.8401078553415,0.00025495165720171406,3485.2445309707728,1.0,0.5902394481524146,3.4205731850595574e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.47936752796,1.3289169520461863e-06
17,10,2.452981135699222,84,0.05110947311500652,True,-4.874737116188584,147.81979859087247,147.1874500764483,14.0,223.4,137.1244490337484,0.00937636679922861,8039.375384654397,0.4987243878895826,0.6508642805587289,1.2038884509702551e-06,114.18484656167034,224.76407040227505,263.8,94.43592959772499,0.0004297928722514817,11752.513045279757,1.0,0.5940275710233701,5.054992484777386e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.8084423032806,4.0095181174565294e-06
10,14,1.618114073712377,73,0.017554452087091357,True,-1.9070631958946118,171.7343024429639,170.99928393835762,16.1,216.9,160.17484449912243,0.009345599697920887,5938.985331917585,0.4806900060742004,0.6507528058636111,2.5733554775212767e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.6087219866747,2.8836740778058116e-06
29,7,2.4594275589213512,57,0.034757871500301823,True,2.6653264885333434,154.6990703566904,153.2629067996087,13.9,228.2,143.85392011395072,0.009344195406441007,12926.438730628486,0.4747417050158985,0.6507477133518276,7.678694594735807e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.3749799261281,4.270201239966004e-05
11,7,2.9381145789273497,36,0.05014981556739091,True,1.9623696707188507,172.66630286062272,171.87315089948075,18.2,224.2,160.97141197711701,0.00931228016824645,5534.917583023202,0.4811203485475521,0.6506318426885999,3.5270932946269235e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.2985265855221,6.552944139610034e-05
28,19,1.4428615727244476,95,0.022937583506097592,True,-0.9100488042021654,167.5768309318293,167.0922953902539,17.7,217.9,156.37809188801631,0.009293110168334687,5977.128859800289,0.4836731807028854,0.6505621224736119,2.728685446714093e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.7055312375645,5.357234569491169e-07
1,7,0.4980885392173848,37,0.0160971860917655,True,0.6571788548724015,158.42099936297006,158.37200579078555,19.6,218.5,147.4302088087985,0.0092737613676689,5606.765908062008,0.500505239158341,0.6504916884161945,5.416780325118891e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.75630927503613,0.00023374284725524516
7,19,0.5106230606474893,98,0.011981452697920204,True,-2.578543020306986,163.8228651397376,163.17928630299855,18.8,213.1,152.28388386976647,0.009246559503338863,2391.51289488298,0.4926993985835075,0.6503924289160612,0.0002166466720032567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994.7474747474747,1.1812610215128664e-06
23,18,0.3474220806543434,95,0.010282841161717307,True,-3.700485867514273,162.4040140943966,161.80792140016726,19.3,211.7,150.68761304442268,0.009218506421905494,5161.952870344901,0.4992357227925361,0.6502900441809438,7.27016155296046e-06,147.16477625677226,213.2,270.7,126.57242111034044,0.0003620289108128516,2708.980449628531,1.0,0.5926754484424179,3.623213952347704e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,958.3495523550018,2.0010070944516012e-06
15,17,3.9176048092234534,90,0.11802113470555947,True,-3.5836783546922124,162.1833452163597,161.2587329259064,19.3,211.9,150.24843087440945,0.009200689330632244,5349.497233986985,0.4976024415148202,0.6502248733802334,6.0260363526472875e-06,146.37591746644398,213.4,270.9,125.73406298034566,0.00036376775222482114,2644.15210762806,1.0,0.5927116991489365,4.059004694329244e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,909.4939046915404,2.3843801890965464e-07
